id,home_team_player11,home_team_player10,home_team_player9,home_team_player8,home_team_player7,home_team_player6,home_team_player5,home_team_player4,home_team_player3,home_team_player2,home_team_player1,home_team_score,away_team_score,away_team_player1,away_team_player2,away_team_player3,away_team_player4,away_team_player5,away_team_player6,away_team_player7,away_team_player8,away_team_player9,away_team_player10,away_team_player11
9200,18 巻 誠一郎 FW,10 ハース FW,22 羽生 直剛 MF,16 山岸 智 MF,15 中島 浩司 MF,6 阿部 勇樹 MF,2 坂本 將貴 MF,3 斎藤 大輔 DF,5 ストヤノフ DF,24 結城 耕造 DF,1 立石 智紀 GK,2,2,1 阿部 謙作 GK,32 杉山 新 DF,15 アライール DF,20 ビジュ DF,4 山本 英臣 DF,31 林 健太郎 MF,8 倉貫 一毅 MF,7 石原 克哉 MF,11 宇留野 純 FW,16 バレー FW,18 長谷川 太郎 FW
9201,10 エジミウソン FW,11 矢野 貴章 FW,18 鈴木 慎吾 MF,16 寺川 能人 MF,15 本間 勲 MF,8 シルビーニョ MF,5 梅山 修 DF,26 中野 洋司 DF,29 喜多 靖 DF,17 海本 幸治郎 DF,21 野澤 洋輔 GK,2,0,1 土肥 洋一 GK,25 徳永 悠平 DF,5 増嶋 竜也 DF,2 茂庭 照幸 DF,15 鈴木 規郎 DF,19 伊野波 雅彦 MF,23 梶山 陽平 MF,6 今野 泰幸 MF,21 ササ サルセード FW,9 ルーカス FW,35 リチェーリ FW
9202,17 マルキーニョス FW,18 チョ ジェジン FW,10 藤本 淳吾 MF,16 枝村 匠馬 MF,7 伊東 輝悦 MF,13 兵働 昭弘 MF,3 山西 尊裕 DF,4 高木 和道 DF,26 青山 直晃 DF,25 市川 大祐 DF,21 西部 洋平 GK,2,0,22 川島 永嗣 GK,4 大森 征之 DF,5 古賀 正紘 DF,29 深津 康太 DF,6 有村 光史 DF,8 金 正友 MF,14 吉村 圭司 MF,7 中村 直志 MF,27 片山 奨典 MF,11 玉田 圭司 FW,19 杉本 恵太 FW
9203,9 アレックス ミネイロ FW,13 柳沢 敦 FW,8 小笠原 満男 MF,10 本山 雅志 MF,26 増田 誓志 MF,24 青木 剛 MF,7 新井場 徹 DF,4 大岩 剛 DF,3 岩政 大樹 DF,20 内田 篤人 DF,1 小澤 英明 GK,0,3,1 榎本 達也 GK,3 松田 直樹 DF,30 栗原 勇蔵 DF,22 中澤 佑二 DF,17 吉田 孝行 MF,6 上野 良治 MF,8 マグロン MF,5 ドゥトラ MF,14 奥 大介 MF,9 久保 竜彦 FW,19 マルケス FW
9204,20 林 丈統 FW,10 パウリーニョ FW,8 美尾 敦 MF,27 加藤 大志 MF,16 斉藤 大介 MF,18 米田 兼一郎 MF,7 児玉 新 DF,2 鈴木 悟 DF,3 リカルド DF,4 鈴木 和裕 DF,1 平井 直人 GK,2,7,21 相澤 貴志 GK,5 箕輪 義信 DF,13 寺田 周平 DF,2 伊藤 宏樹 DF,19 森 勇介 MF,14 中村 憲剛 MF,29 谷口 博之 MF,6 マルコン MF,11 マルクス MF,9 我那覇 和樹 FW,10 ジュニーニョ FW
9205,27 田中 佑昌 FW,9 薮田 光教 FW,14 古賀 誠史 MF,8 ホベルト MF,6 布部 陽功 MF,7 宮崎 光平 MF,3 アレックス DF,5 千代反田 充 DF,4 金古 聖司 DF,22 中村 北斗 DF,1 水谷 雄一 GK,1,1,20 荒谷 弘樹 GK,22 波戸 康広 DF,5 冨田 大介 DF,2 奥野 誠一郎 DF,17 土屋 征夫 DF,4 トニーニョ MF,15 斉藤 雅人 MF,32 小林 慶行 MF,8 小林 大悟 MF,16 久永 辰徳 MF,10 マルティネス FW
9206,9 オズマール FW,13 高松 大樹 FW,7 西山 哲平 MF,17 根本 裕一 MF,5 エジミウソン MF,11 トゥーリオ MF,6 梅田 高志 MF,31 福元 洋平 DF,22 上本 大海 DF,2 三木 隆司 DF,1 西川 周作 GK,1,1,1 下田 崇 GK,5 駒野 友一 DF,4 ジニーニョ DF,3 小村 徳男 DF,17 服部 公太 DF,16 李 漢宰 MF,14 戸田 和幸 MF,8 森﨑 和幸 MF,6 ベット MF,10 ウェズレイ FW,11 佐藤 寿人 FW
9207,9 古橋 達弥 FW,20 西澤 明訓 FW,8 森島 寛晃 FW,6 ゼ カルロス MF,10 ピンゴ MF,23 下村 東美 MF,4 河村 崇大 MF,3 柳本 啓成 DF,5 前田 和哉 DF,2 ブルーノ クアドロス DF,22 吉田 宗弘 GK,1,6,1 松代 直樹 GK,21 加地 亮 DF,2 シジクレイ DF,6 山口 智 DF,14 家長 昭博 DF,17 明神 智和 MF,27 橋本 英郎 MF,7 遠藤 保仁 MF,10 二川 孝広 MF,8 フェルナンジーニョ FW,9 マグノ アウベス FW
9208,11 阿部 吉朗 FW,21 ササ サルセード FW,9 ルーカス FW,23 梶山 陽平 MF,6 今野 泰幸 MF,19 伊野波 雅彦 MF,15 鈴木 規郎 DF,2 茂庭 照幸 DF,3 ジャーン DF,25 徳永 悠平 DF,1 土肥 洋一 GK,0,1,21 西部 洋平 GK,25 市川 大祐 DF,26 青山 直晃 DF,4 高木 和道 DF,3 山西 尊裕 DF,13 兵働 昭弘 MF,7 伊東 輝悦 MF,16 枝村 匠馬 MF,10 藤本 淳吾 MF,18 チョ ジェジン FW,17 マルキーニョス FW
9209,22 カレン ロバート FW,7 名波 浩 MF,14 村井 慎二 MF,23 福西 崇史 MF,25 ファブリシオ MF,11 西 紀寛 MF,6 服部 年宏 DF,20 金 珍圭 DF,8 菊地 直哉 DF,2 鈴木 秀人 DF,1 川口 能活 GK,1,1,1 平井 直人 GK,23 大久保 裕樹 DF,3 リカルド DF,2 鈴木 悟 DF,7 児玉 新 DF,16 斉藤 大介 MF,18 米田 兼一郎 MF,11 星 大輔 MF,8 美尾 敦 MF,31 田原 豊 FW,10 パウリーニョ FW
9210,11 佐藤 寿人 FW,10 ウェズレイ FW,6 ベット MF,8 森﨑 和幸 MF,14 戸田 和幸 MF,16 李 漢宰 MF,17 服部 公太 DF,3 小村 徳男 DF,4 ジニーニョ DF,5 駒野 友一 DF,1 下田 崇 GK,1,4,23 都築 龍太 GK,2 坪井 慶介 DF,4 田中 マルクス闘莉王 DF,20 堀之内 聖 DF,6 山田 暢久 MF,17 長谷部 誠 MF,13 鈴木 啓太 MF,8 三都主 アレサンドロ MF,18 小野 伸二 MF,10 ポンテ FW,21 ワシントン FW
9211,27 若林 学 FW,10 マルティネス FW,16 久永 辰徳 MF,8 小林 大悟 MF,32 小林 慶行 MF,6 ディビッドソン 純マーカス MF,17 土屋 征夫 DF,2 奥野 誠一郎 DF,4 トニーニョ DF,22 波戸 康広 DF,20 荒谷 弘樹 GK,1,2,21 野澤 洋輔 GK,17 海本 幸治郎 DF,19 海本 慶治 DF,26 中野 洋司 DF,29 喜多 靖 DF,15 本間 勲 MF,8 シルビーニョ MF,16 寺川 能人 MF,18 鈴木 慎吾 MF,10 エジミウソン FW,11 矢野 貴章 FW
9212,18 長谷川 太郎 FW,16 バレー FW,11 宇留野 純 FW,7 石原 克哉 MF,8 倉貫 一毅 MF,31 林 健太郎 MF,4 山本 英臣 DF,2 秋本 倫孝 DF,15 アライール DF,32 杉山 新 DF,1 阿部 謙作 GK,1,0,21 相澤 貴志 GK,5 箕輪 義信 DF,13 寺田 周平 DF,2 伊藤 宏樹 DF,19 森 勇介 MF,14 中村 憲剛 MF,29 谷口 博之 MF,6 マルコン MF,11 マルクス MF,9 我那覇 和樹 FW,10 ジュニーニョ FW
9213,19 杉本 恵太 FW,11 玉田 圭司 FW,24 本田 圭佑 MF,7 中村 直志 MF,14 吉村 圭司 MF,8 金 正友 MF,31 阿部 翔平 DF,5 古賀 正紘 DF,2 秋田 豊 DF,4 大森 征之 DF,22 川島 永嗣 GK,0,0,1 小澤 英明 GK,20 内田 篤人 DF,3 岩政 大樹 DF,4 大岩 剛 DF,7 新井場 徹 DF,24 青木 剛 MF,26 増田 誓志 MF,8 小笠原 満男 MF,10 本山 雅志 MF,13 柳沢 敦 FW,9 アレックス ミネイロ FW
9214,18 巻 誠一郎 FW,22 羽生 直剛 MF,9 クルプニコビッチ MF,8 水野 晃樹 MF,16 山岸 智 MF,7 佐藤 勇人 MF,6 阿部 勇樹 MF,2 坂本 將貴 MF,5 ストヤノフ DF,3 斎藤 大輔 DF,1 立石 智紀 GK,2,2,1 水谷 雄一 GK,22 中村 北斗 DF,5 千代反田 充 DF,4 金古 聖司 DF,3 アレックス DF,10 久藤 清一 MF,6 布部 陽功 MF,8 ホベルト MF,7 宮崎 光平 MF,9 薮田 光教 FW,36 グラウシオ FW
9215,19 マルケス FW,9 久保 竜彦 FW,14 奥 大介 MF,5 ドゥトラ MF,8 マグロン MF,6 上野 良治 MF,17 吉田 孝行 MF,22 中澤 佑二 DF,30 栗原 勇蔵 DF,3 松田 直樹 DF,1 榎本 達也 GK,3,1,22 吉田 宗弘 GK,2 ブルーノ クアドロス DF,5 前田 和哉 DF,26 藤本 康太 DF,10 ピンゴ MF,23 下村 東美 MF,7 山田 卓也 MF,6 ゼ カルロス MF,8 森島 寛晃 FW,20 西澤 明訓 FW,9 古橋 達弥 FW
9216,9 マグノ アウベス FW,8 フェルナンジーニョ FW,10 二川 孝広 MF,7 遠藤 保仁 MF,27 橋本 英郎 MF,17 明神 智和 MF,14 家長 昭博 DF,6 山口 智 DF,2 シジクレイ DF,21 加地 亮 DF,1 松代 直樹 GK,1,3,1 西川 周作 GK,2 三木 隆司 DF,22 上本 大海 DF,31 福元 洋平 DF,6 梅田 高志 MF,11 トゥーリオ MF,5 エジミウソン MF,7 西山 哲平 MF,17 根本 裕一 MF,13 高松 大樹 FW,9 オズマール FW
9217,9 アレックス ミネイロ FW,13 柳沢 敦 FW,10 本山 雅志 MF,8 小笠原 満男 MF,26 増田 誓志 MF,24 青木 剛 MF,7 新井場 徹 DF,4 大岩 剛 DF,3 岩政 大樹 DF,20 内田 篤人 DF,1 小澤 英明 GK,3,1,1 阿部 謙作 GK,32 杉山 新 DF,15 アライール DF,2 秋本 倫孝 DF,4 山本 英臣 DF,31 林 健太郎 MF,8 倉貫 一毅 MF,10 藤田 健 MF,7 石原 克哉 FW,16 バレー FW,18 長谷川 太郎 FW
9218,11 山形 恭平 FW,9 薮田 光教 FW,7 宮崎 光平 MF,22 中村 北斗 MF,8 ホベルト MF,10 久藤 清一 MF,3 アレックス DF,5 千代反田 充 DF,4 金古 聖司 DF,2 宮本 亨 DF,1 水谷 雄一 GK,0,1,22 川島 永嗣 GK,4 大森 征之 DF,2 秋田 豊 DF,5 古賀 正紘 DF,24 本田 圭佑 DF,14 吉村 圭司 MF,25 須藤 右介 MF,7 中村 直志 MF,31 阿部 翔平 MF,11 玉田 圭司 FW,23 豊田 陽平 FW
9219,21 ワシントン FW,10 ポンテ FW,18 小野 伸二 MF,8 三都主 アレサンドロ MF,13 鈴木 啓太 MF,17 長谷部 誠 MF,6 山田 暢久 MF,20 堀之内 聖 DF,4 田中 マルクス闘莉王 DF,2 坪井 慶介 DF,23 都築 龍太 GK,3,0,22 吉田 宗弘 GK,2 ブルーノ クアドロス DF,5 前田 和哉 DF,26 藤本 康太 DF,10 ピンゴ MF,23 下村 東美 MF,4 河村 崇大 MF,6 ゼ カルロス MF,8 森島 寛晃 FW,20 西澤 明訓 FW,9 古橋 達弥 FW
9220,11 矢野 貴章 FW,10 エジミウソン FW,18 鈴木 慎吾 MF,16 寺川 能人 MF,8 シルビーニョ MF,15 本間 勲 MF,29 喜多 靖 DF,26 中野 洋司 DF,19 海本 慶治 DF,17 海本 幸治郎 DF,21 野澤 洋輔 GK,0,2,1 川口 能活 GK,2 鈴木 秀人 DF,8 菊地 直哉 DF,20 金 珍圭 DF,6 服部 年宏 DF,11 西 紀寛 MF,23 福西 崇史 MF,25 ファブリシオ MF,14 村井 慎二 MF,10 成岡 翔 MF,22 カレン ロバート FW
9221,17 マルキーニョス FW,18 チョ ジェジン FW,10 藤本 淳吾 MF,6 杉山 浩太 MF,7 伊東 輝悦 MF,13 兵働 昭弘 MF,3 山西 尊裕 DF,4 高木 和道 DF,26 青山 直晃 DF,25 市川 大祐 DF,21 西部 洋平 GK,1,2,1 立石 智紀 GK,3 斎藤 大輔 DF,5 ストヤノフ DF,24 結城 耕造 DF,2 坂本 將貴 MF,6 阿部 勇樹 MF,7 佐藤 勇人 MF,16 山岸 智 MF,9 クルプニコビッチ MF,10 ハース FW,18 巻 誠一郎 FW
9222,9 オズマール FW,13 高松 大樹 FW,17 根本 裕一 MF,5 エジミウソン MF,11 トゥーリオ MF,7 西山 哲平 MF,6 梅田 高志 MF,31 福元 洋平 DF,4 深谷 友基 DF,3 柴小屋 雄一 DF,1 西川 周作 GK,1,2,1 榎本 達也 GK,3 松田 直樹 DF,30 栗原 勇蔵 DF,22 中澤 佑二 DF,17 吉田 孝行 MF,6 上野 良治 MF,8 マグロン MF,5 ドゥトラ MF,18 清水 範久 MF,15 大島 秀夫 FW,19 マルケス FW
9223,10 ジュニーニョ FW,9 我那覇 和樹 FW,11 マルクス MF,19 森 勇介 MF,29 谷口 博之 MF,14 中村 憲剛 MF,4 井川 祐輔 MF,2 伊藤 宏樹 DF,13 寺田 周平 DF,5 箕輪 義信 DF,21 相澤 貴志 GK,2,2,1 土肥 洋一 GK,25 徳永 悠平 DF,3 ジャーン DF,2 茂庭 照幸 DF,15 鈴木 規郎 DF,19 伊野波 雅彦 MF,6 今野 泰幸 MF,16 宮沢 正史 MF,14 馬場 憂太 MF,35 リチェーリ FW,9 ルーカス FW
9224,31 田原 豊 FW,10 パウリーニョ FW,8 美尾 敦 MF,11 星 大輔 MF,16 斉藤 大介 MF,18 米田 兼一郎 MF,7 児玉 新 DF,2 鈴木 悟 DF,3 リカルド DF,23 大久保 裕樹 DF,1 平井 直人 GK,2,2,1 下田 崇 GK,5 駒野 友一 DF,18 吉弘 充志 DF,3 小村 徳男 DF,17 服部 公太 DF,16 李 漢宰 MF,14 戸田 和幸 MF,6 ベット MF,20 大木 勉 MF,9 上野 優作 FW,11 佐藤 寿人 FW
9225,9 マグノ アウベス FW,8 フェルナンジーニョ FW,10 二川 孝広 MF,14 家長 昭博 MF,27 橋本 英郎 MF,17 明神 智和 MF,20 寺田 紳一 MF,6 山口 智 DF,2 シジクレイ DF,15 青木 良太 DF,22 藤ヶ谷 陽介 GK,3,1,20 荒谷 弘樹 GK,22 波戸 康広 DF,4 トニーニョ DF,2 奥野 誠一郎 DF,17 土屋 征夫 DF,6 ディビッドソン 純マーカス MF,19 片岡 洋介 MF,8 小林 大悟 MF,11 藤本 主税 MF,14 森田 浩史 FW,30 桜井 直人 FW
9226,27 若林 学 FW,8 小林 大悟 FW,11 藤本 主税 MF,16 久永 辰徳 MF,19 片岡 洋介 MF,6 ディビッドソン 純マーカス MF,17 土屋 征夫 DF,2 奥野 誠一郎 DF,4 トニーニョ DF,22 波戸 康広 DF,20 荒谷 弘樹 GK,1,0,21 西部 洋平 GK,25 市川 大祐 DF,26 青山 直晃 DF,4 高木 和道 DF,3 山西 尊裕 DF,14 高木 純平 MF,7 伊東 輝悦 MF,16 枝村 匠馬 MF,10 藤本 淳吾 MF,18 チョ ジェジン FW,15 久保山 由清 FW
9227,22 カレン ロバート FW,7 名波 浩 MF,14 村井 慎二 MF,25 ファブリシオ MF,23 福西 崇史 MF,11 西 紀寛 MF,6 服部 年宏 DF,20 金 珍圭 DF,8 菊地 直哉 DF,2 鈴木 秀人 DF,1 川口 能活 GK,1,2,21 相澤 貴志 GK,5 箕輪 義信 DF,13 寺田 周平 DF,2 伊藤 宏樹 DF,19 森 勇介 MF,14 中村 憲剛 MF,29 谷口 博之 MF,6 マルコン MF,11 マルクス MF,24 黒津 勝 FW,10 ジュニーニョ FW
9228,9 古橋 達弥 FW,20 西澤 明訓 FW,8 森島 寛晃 FW,6 ゼ カルロス MF,17 酒本 憲幸 MF,23 下村 東美 MF,10 ピンゴ MF,3 柳本 啓成 DF,5 前田 和哉 DF,2 ブルーノ クアドロス DF,22 吉田 宗弘 GK,3,1,21 野澤 洋輔 GK,17 海本 幸治郎 DF,19 海本 慶治 DF,29 喜多 靖 DF,5 梅山 修 DF,8 シルビーニョ MF,15 本間 勲 MF,16 寺川 能人 MF,18 鈴木 慎吾 MF,10 エジミウソン FW,11 矢野 貴章 FW
9229,11 佐藤 寿人 FW,9 上野 優作 FW,20 大木 勉 MF,17 服部 公太 MF,14 戸田 和幸 MF,6 ベット MF,5 駒野 友一 MF,18 吉弘 充志 DF,3 小村 徳男 DF,22 西河 翔吾 DF,21 木寺 浩一 GK,1,3,22 藤ヶ谷 陽介 GK,21 加地 亮 DF,2 シジクレイ DF,5 宮本 恒靖 DF,6 山口 智 DF,17 明神 智和 MF,27 橋本 英郎 MF,7 遠藤 保仁 MF,14 家長 昭博 MF,8 フェルナンジーニョ FW,9 マグノ アウベス FW
9230,19 マルケス FW,9 久保 竜彦 FW,14 奥 大介 MF,5 ドゥトラ MF,8 マグロン MF,6 上野 良治 MF,17 吉田 孝行 MF,22 中澤 佑二 DF,30 栗原 勇蔵 DF,3 松田 直樹 DF,1 榎本 達也 GK,1,3,23 都築 龍太 GK,2 坪井 慶介 DF,4 田中 マルクス闘莉王 DF,20 堀之内 聖 DF,6 山田 暢久 MF,17 長谷部 誠 MF,13 鈴木 啓太 MF,8 三都主 アレサンドロ MF,18 小野 伸二 MF,10 ポンテ FW,21 ワシントン FW
9231,18 長谷川 太郎 FW,16 バレー FW,24 大西 容平 FW,7 石原 克哉 MF,8 倉貫 一毅 MF,31 林 健太郎 MF,27 松田 勉 DF,2 秋本 倫孝 DF,20 ビジュ DF,4 山本 英臣 DF,1 阿部 謙作 GK,1,1,1 水谷 雄一 GK,22 中村 北斗 DF,4 金古 聖司 DF,5 千代反田 充 DF,3 アレックス DF,11 山形 恭平 MF,8 ホベルト MF,13 松下 裕樹 MF,7 宮崎 光平 MF,9 薮田 光教 FW,18 有光 亮太 FW
9232,18 巻 誠一郎 FW,10 ハース FW,9 クルプニコビッチ MF,16 山岸 智 MF,7 佐藤 勇人 MF,6 阿部 勇樹 MF,2 坂本 將貴 MF,24 結城 耕造 DF,5 ストヤノフ DF,3 斎藤 大輔 DF,1 立石 智紀 GK,0,1,1 小澤 英明 GK,20 内田 篤人 DF,3 岩政 大樹 DF,4 大岩 剛 DF,7 新井場 徹 DF,6 本田 泰人 MF,26 増田 誓志 MF,8 小笠原 満男 MF,10 本山 雅志 MF,9 アレックス ミネイロ FW,13 柳沢 敦 FW
9233,23 豊田 陽平 FW,11 玉田 圭司 FW,31 阿部 翔平 MF,7 中村 直志 MF,14 吉村 圭司 MF,8 金 正友 MF,24 本田 圭佑 DF,5 古賀 正紘 DF,2 秋田 豊 DF,4 大森 征之 DF,22 川島 永嗣 GK,0,3,1 西川 周作 GK,2 三木 隆司 DF,4 深谷 友基 DF,31 福元 洋平 DF,6 梅田 高志 MF,7 西山 哲平 MF,11 トゥーリオ MF,5 エジミウソン MF,17 根本 裕一 MF,9 オズマール FW,13 高松 大樹 FW
9234,20 川口 信男 FW,9 ルーカス FW,14 馬場 憂太 MF,6 今野 泰幸 MF,23 梶山 陽平 MF,19 伊野波 雅彦 MF,15 鈴木 規郎 DF,3 ジャーン DF,2 茂庭 照幸 DF,25 徳永 悠平 DF,1 土肥 洋一 GK,2,1,1 平井 直人 GK,23 大久保 裕樹 DF,3 リカルド DF,2 鈴木 悟 DF,7 児玉 新 DF,18 米田 兼一郎 MF,16 斉藤 大介 MF,11 星 大輔 MF,8 美尾 敦 MF,9 アレモン FW,10 パウリーニョ FW
9235,19 マルケス FW,15 大島 秀夫 FW,18 清水 範久 MF,5 ドゥトラ MF,8 マグロン MF,6 上野 良治 MF,7 田中 隼磨 MF,35 河合 竜二 DF,30 栗原 勇蔵 DF,3 松田 直樹 DF,1 榎本 達也 GK,1,1,1 土肥 洋一 GK,25 徳永 悠平 DF,5 増嶋 竜也 DF,2 茂庭 照幸 DF,15 鈴木 規郎 DF,19 伊野波 雅彦 MF,23 梶山 陽平 MF,6 今野 泰幸 MF,27 栗澤 僚一 MF,9 ルーカス FW,20 川口 信男 FW
9236,9 古橋 達弥 FW,20 西澤 明訓 FW,8 森島 寛晃 FW,6 ゼ カルロス MF,17 酒本 憲幸 MF,23 下村 東美 MF,10 ピンゴ MF,3 柳本 啓成 DF,5 前田 和哉 DF,2 ブルーノ クアドロス DF,22 吉田 宗弘 GK,2,3,1 阿部 謙作 GK,32 杉山 新 DF,20 ビジュ DF,2 秋本 倫孝 DF,4 山本 英臣 DF,31 林 健太郎 MF,8 倉貫 一毅 MF,7 石原 克哉 MF,11 宇留野 純 FW,16 バレー FW,18 長谷川 太郎 FW
9237,18 チョ ジェジン FW,9 矢島 卓郎 FW,10 藤本 淳吾 MF,7 伊東 輝悦 MF,16 枝村 匠馬 MF,13 兵働 昭弘 MF,3 山西 尊裕 DF,4 高木 和道 DF,26 青山 直晃 DF,11 森岡 隆三 DF,21 西部 洋平 GK,2,3,22 藤ヶ谷 陽介 GK,15 青木 良太 DF,2 シジクレイ DF,6 山口 智 DF,16 前田 雅文 MF,24 松下 年宏 MF,27 橋本 英郎 MF,14 家長 昭博 MF,10 二川 孝広 MF,8 フェルナンジーニョ FW,9 マグノ アウベス FW
9238,10 パウリーニョ FW,9 アレモン FW,20 林 丈統 FW,8 美尾 敦 MF,14 中払 大介 MF,16 斉藤 大介 MF,7 児玉 新 DF,5 鷲田 雅一 DF,3 リカルド DF,23 大久保 裕樹 DF,1 平井 直人 GK,2,1,1 水谷 雄一 GK,21 山形 辰徳 DF,4 金古 聖司 DF,5 千代反田 充 DF,3 アレックス DF,22 中村 北斗 MF,8 ホベルト MF,13 松下 裕樹 MF,10 久藤 清一 MF,9 薮田 光教 FW,27 田中 佑昌 FW
